epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2866.38,0.81141,1.78117,0.63961,0.94787,0.78786,0.75695,0.82406,0.67597,0.77463,0.72319,0.78384,0.39541,0.70972,4.76363,0.60633,0.90547,0.0002179,0.0002179,0.0002179
81,2902.38,0.79958,1.77438,0.63012,0.94856,0.78415,0.76286,0.83188,0.68006,0.81134,0.70168,0.79497,0.39832,0.71791,4.80237,0.61375,0.91022,0.000208,0.000208,0.000208
82,2938.21,0.79854,1.75823,0.62882,0.94318,0.78822,0.75956,0.83373,0.68516,0.79031,0.71407,0.79239,0.39525,0.70762,4.75556,0.59735,0.902,0.0001981,0.0001981,0.0001981
83,2974.29,0.79983,1.7484,0.62085,0.94163,0.82433,0.75084,0.83661,0.68618,0.80786,0.72588,0.80024,0.39998,0.71144,4.80756,0.58939,0.904,0.0001882,0.0001882,0.0001882
84,3010.13,0.80174,1.76001,0.61736,0.94763,0.77889,0.74961,0.82696,0.68055,0.75851,0.7309,0.79155,0.3953,0.71272,4.87609,0.60274,0.90572,0.0001783,0.0001783,0.0001783
85,3045.58,0.79207,1.74543,0.61602,0.94083,0.81532,0.7449,0.83342,0.68496,0.80753,0.71248,0.78885,0.3971,0.70924,4.8157,0.59523,0.90086,0.0001684,0.0001684,0.0001684
86,3081.34,0.80067,1.76413,0.61273,0.94234,0.81696,0.73366,0.83784,0.69022,0.84492,0.68454,0.80494,0.40398,0.71373,4.65012,0.59581,0.90709,0.0001585,0.0001585,0.0001585
87,3116.41,0.79813,1.76232,0.6184,0.94174,0.83768,0.71975,0.82417,0.6774,0.81501,0.6995,0.78571,0.39442,0.71778,4.79432,0.59807,0.90865,0.0001486,0.0001486,0.0001486
88,3152.03,0.78567,1.72648,0.60468,0.94099,0.77375,0.75425,0.82754,0.6824,0.74966,0.7262,0.78723,0.39464,0.71818,4.76274,0.60902,0.90762,0.0001387,0.0001387,0.0001387
89,3187.8,0.79327,1.75331,0.61188,0.94415,0.80922,0.75096,0.83105,0.68719,0.78818,0.73045,0.79661,0.40019,0.7129,4.77208,0.59979,0.90542,0.0001288,0.0001288,0.0001288
